footballer_id,footballer_name,position
121,Yusuf Yılmaz,Goalkeeper
285,Berhan Deniz,Centre-Forward
370,Djordje Nikolic,Goalkeeper
425,Emir Dadük,Goalkeeper
511,Deniz Dönmezer,Goalkeeper
534,Ozan Demirbağ,Centre-Forward
544,Jan Leszczynski,Centre-Back
575,Wojciech Monka,Centre-Back
635,Jaroslaw Kubicki,Defensive Midfield
679,Konrad Golonka,Goalkeeper
698,Fabian Bzdyl,Attacking Midfield
874,Alex Cetnar,Defensive Midfield
968,Leândro,Right Winger
1015,Adam Sendor,Defensive Midfield
1029,Görkem Cihan,Goalkeeper
1047,Hasan Nazarli,Attacking Midfield
1077,Tarık Tuğyan,Right Winger
1090,Baran Alp Vardar,Centre-Back
1180,Emirhan Ayhan,Central Midfield
1189,Haktan Bülent Nalyapan,Goalkeeper
1416,Hasan Ege Akdoğan,Centre-Forward
1461,Kerem Arık,Central Midfield
1469,Osman Kahraman,Right Winger
1502,Arda Türken,Defender
1511,Ali Uğurlu,Right-Back
1548,Mahmut Küçük,Central Midfield
1560,Çınar Yıldızlı,Goalkeeper
1561,Enes Salik,Goalkeeper
1564,Eray Şişman,Left-Back
1565,Muhammet Emir Ulusoy,Left-Back
1568,Kürşat Selamoğlu,Right-Back
1572,Ömer Çağrı Ataş,Defensive Midfield
1575,Enes Nas,Central Midfield
1581,Mehmet Emin Taştan,Right Winger
1584,Halil Atcı,Centre-Forward
1585,Osman Katipoğlu,Centre-Forward
